year,player,team,affiliation,round,round_pick,overall_pick,position,lane_agility,shuttle_run,sprint,standing_leap,max_leap,bench_press,body_fat,hand_length,hand_width,height_no_shoes,height_shoes,reach,weight,wingspan,player_id
2005,Sean May,Charlotte Bobcats,North Carolina,1,13,13,F,11.04,3.1,3.29,30.0,33.0,12,7.79,8.95,9.59,79.0,80.5,105.0,258.8,85.25,mayse01
2008,Sean Singletary,Sacramento Kings,Virginia,2,12,42,G,11.11,3.04,3.22,26.0,36.1,18,4.20,8.46,9.1,71.0,72.0,95.0,183.8,76.5,singlse01
2007,Sean Williams,New Jersey Nets,Boston College,1,17,17,C,11.96,3.1,3.42,27.58,31.48,10.79,8.73,9.12,9.86,82.59,83.73,110.57,247.02,87.72,willise01
2004,Sebastian Telfair,Portland Trail Blazers,Abraham Lincoln,1,13,13,G,11.11,3.04,3.22,30.1,36.1,8.78,6.39,8.46,9.1,74.76,76.12,99.43,195.28,79.4,telfase01
2019,Sekou Doumbouya,Detroit Pistons,Limoges CSP (France),1,15,15,NA,11.46,3.1,3.3,29.41,34.23,11.36,7.79,8.95,9.59,79.56,80.81,106.2,228.53,84.53,
2014,Semaj Christon,Miami Heat,Xavier,2,25,55,G,11.55,3.21,3.32,30.5,36.5,8.78,5.25,8.50,8.25,73.5,75.25,99.0,186.0,78.5,chrisse01
2017,Semi Ojeleye,Boston Celtics,Southern Methodist,2,7,37,F,10.58,3.07,3.16,35.0,40.5,19,5.50,8.75,9.50,77.25,78.75,102.0,241.4,81.75,ojelese01
2008,Semih Erden,Boston Celtics,Fenerbahce S.K. (Turkey),2,30,60,C,11.96,3.1,3.42,27.58,31.48,10.79,8.73,9.12,9.86,82.59,83.73,110.57,247.02,87.72,erdense01
2008,Serge Ibaka,Oklahoma City Thunder,CB L'Hospitalet (Spain),1,24,24,F,11.46,3.1,3.3,29.41,34.23,11.36,7.79,8.95,9.59,79.56,80.81,106.2,228.53,84.53,ibakase01
2004,Sergei Karaulov,San Antonio Spurs,Sakha-Yakutia Yakutsk (Russia),2,28,57,NA,11.46,3.1,3.3,29.41,34.23,11.36,7.79,8.95,9.59,79.56,80.81,106.2,228.53,84.53,
2004,Sergei Lishouk,Memphis Grizzlies,Miami (FL),2,20,49,F,11.46,3.1,3.3,29.41,34.23,11.36,10.50,8.95,9.59,82.25,83.5,109.5,244.0,84.0,
2004,Sergei Monia,Portland Trail Blazers,PBC CSKA Moscow (Russia),1,23,23,F,11.46,3.1,3.3,29.41,34.23,11.36,7.79,8.95,9.59,79.56,80.81,106.2,228.53,84.53,moniase01
2013,Sergey Karasev,Cleveland Cavaliers,B.C. Zenit Saint Petersburg (Russia),1,19,19,F,11.46,3.1,3.3,29.41,34.23,11.36,7.79,8.95,9.59,79.56,80.81,106.2,228.53,84.53,karasse01
2009,Sergio Llull,Denver Nuggets,Real Madrid Baloncesto (Spain),2,4,34,NA,11.46,3.1,3.3,29.41,34.23,11.36,7.79,8.95,9.59,79.56,80.81,106.2,228.53,84.53,
2006,Sergio Rodriguez,Phoenix Suns,CB Estudiantes (Spain),1,27,27,NA,11.46,3.1,3.3,29.41,34.23,11.36,7.79,8.95,9.59,79.56,80.81,106.2,228.53,84.53,
