year,player_id,name,games_played,minutes_played,minutes_per_game,box_plus_minus,classification
2001,anthogr01,Greg Anthony,58,856,14.758620689655173,0.1,Exclude
2001,armstda01,Darrell Armstrong,75,2767,36.89333333333333,3.3000000000000003,Starter
2001,artesro01,Metta World Peace,76,2363,31.092105263157894,-1.3,Starter
2001,atkinch01,Chucky Atkins,81,2363,29.17283950617284,-1.6,Role Player
2001,augmost01,Stacey Augmon,66,1182,17.90909090909091,0.2,Role Player
2001,austiis01,Isaac Austin,52,845,16.25,-4.3,Exclude
2001,averywi01,William Avery,55,463,8.418181818181818,-4.6,Exclude
2001,bagarda01,Dalibor Bagarić,35,259,7.4,-10.0,Exclude
2001,bakervi01,Vin Baker,76,2129,28.01315789473684,-4.2,Bust
2001,barkler01,Erick Barkley,8,38,4.75,-7.7,Exclude
2001,barroda01,Dana Barros,60,1079,17.983333333333334,-0.3,Exclude
2001,barrybr01,Brent Barry,67,1778,26.537313432835823,3.3,All-Star
2001,barryjo01,Jon Barry,62,1010,16.29032258064516,0.1,Starter
2001,battito01,Tony Battie,40,845,21.125,-0.7,Role Player
2001,bellra01,Raja Bell,5,30,6.0,-9.4,Role Player
2001,bendejo01,Jonathan Bender,59,574,9.728813559322038,-4.7,Role Player
2001,benjaco01,Corey Benjamin,65,857,13.184615384615386,-5.1,Exclude
2001,benoida01,David Benoit,49,446,9.102040816326529,-4.0,Exclude
2001,besttr01,Travis Best,77,2457,31.90909090909091,1.4,Role Player
2001,bibbymi01,Mike Bibby,82,3190,38.90243902439025,0.7,Starter
2001,billuch01,Chauncey Billups,77,1790,23.24675324675325,-0.5,Starter
2001,blaylmo01,Mookie Blaylock,69,2352,34.08695652173913,1.2,Exclude
2001,blounco01,Corie Blount,68,1305,19.19117647058824,-3.5262068965517246,Role Player
2001,blounma01,Mark Blount,64,1098,17.15625,-3.1,Role Player
2001,boguemu01,Muggsy Bogues,3,34,11.333333333333336,-7.2,Exclude
2001,bohanet01,Etdrick Bohannon,6,19,3.1666666666666665,1.7,Exclude
2001,boothca01,Calvin Booth,55,933,16.963636363636365,0.7305466237942122,Role Player
2001,bowdlca01,Cal Bowdler,44,375,8.522727272727273,-0.9,Exclude
2001,bowenbr01,Bruce Bowen,82,2685,32.74390243902439,-1.1,Role Player
2001,bowenry01,Ryan Bowen,57,696,12.210526315789476,0.1,Role Player
2001,bowmair01,Ira Bowman,3,19,6.333333333333332,-1.7,Exclude
2001,boykiea01,Earl Boykins,10,149,14.9,0.2,Starter
2001,bradlsh01,Shawn Bradley,82,2001,24.402439024390244,1.6,Starter
2001,brandel01,Elton Brand,74,2906,39.270270270270274,1.1,All-Star
2001,brandte01,Terrell Brandon,78,2821,36.16666666666666,3.1,Exclude
2001,brownch01,Chucky Brown,26,339,13.038461538461537,-3.466961651917404,Exclude
2001,brownde01,Dee Brown,7,155,22.142857142857146,-2.4,Exclude
2001,brownpj01,P.J. Brown,80,2811,35.1375,-0.4,Starter
2001,brownra02,Randy Brown,54,1238,22.92592592592593,-3.1,Exclude
2001,brunsri01,Rick Brunson,22,208,9.454545454545457,-5.06826923076923,Exclude
2001,bryanko01,Kobe Bryant,68,2783,40.9264705882353,4.8,All-Star
2001,bryanma01,Mark Bryant,18,101,5.611111111111112,-9.2,Exclude
2001,buckngr01,Greg Buckner,37,820,22.16216216216216,-0.5,Role Player
2001,buechju01,Jud Buechler,57,737,12.929824561403509,-0.9000000000000001,Exclude
2001,buforro01,Rodney Buford,47,573,12.191489361702127,-2.9,Bust
2001,bullama01,Matt Bullard,61,1000,16.393442622950822,1.5,Exclude
2001,burresc01,Scott Burrell,4,41,10.25,-0.20000000000000004,Exclude
2001,caffeja01,Jason Caffey,70,1460,20.857142857142858,-2.2,Exclude
2001,cambyma01,Marcus Camby,63,2127,33.76190476190476,4.6,Starter
2001,campbel01,Elden Campbell,78,2337,29.961538461538463,-0.3,Starter
2001,cardibr01,Brian Cardinal,15,126,8.4,-6.3,Exclude
2001,carrch01,Chris Carr,35,309,8.82857142857143,-1.1,Exclude
2001,cartean01,Anthony Carter,72,1630,22.63888888888889,-1.9,Role Player
2001,cartevi01,Vince Carter,75,2979,39.72,7.6,All-Star
2001,cassesa01,Sam Cassell,76,2709,35.64473684210526,1.1,Starter
