season,player_name,pro_id,cbb_id
2005,Robert Whaley,whalero01,robert-whaley-1
2005,Axel Hervelle,herveax01,
2005,Orien Greene,greenor01,orien-greene-1
2005,Dijon Thompson,thompdi01,dijon-thompson-1
2005,Lawrence Roberts,roberla01,lawrence-roberts-1
2005,Amir Johnson,johnsam01,
2005,Marcin Gortat,gortama01,
2005,Uroš Slokar,slokaur01,
2005,Cenk Akyol,akyolce01,
2005,Alex Acker,ackeral01,alex-acker-1
2006,Andrea Bargnani,bargnan01,
2006,LaMarcus Aldridge,aldrila01,lamarcus-aldridge-1
2006,Adam Morrison,morriad01,adam-morrison-1
2006,Tyrus Thomas,thomaty01,tyrus-thomas-1
2006,Shelden Williams,willish02,shelden-williams-1
2006,Brandon Roy,roybr01,brandon-roy-1
2006,Randy Foye,foyera01,randy-foye-1
2006,Rudy Gay,gayru01,rudy-gay-1
2006,Patrick O'Bryant,obryapa01,patrick-obryant-1
2006,Mouhamed Sene,senesa01,
2006,J.J. Redick,redicjj01,jj-redick-1
2006,Hilton Armstrong,armsthi01,hilton-armstrong-1
2006,Thabo Sefolosha,sefolth01,
2006,Ronnie Brewer,brewero02,ronnie-brewer-1
2006,Cedric Simmons,simmoce01,cedric-simmons-1
2006,Rodney Carney,carnero01,rodney-carney-1
2006,Shawne Williams,willish03,shawne-williams-1
2006,Oleksiy Pecherov,pecheol01,
2006,Quincy Douby,doubyqu01,quincy-douby-1
2006,Renaldo Balkman,balkmre01,renaldo-balkman-1
2006,Rajon Rondo,rondora01,rajon-rondo-1
2006,Marcus Williams,willima03,marcus-williams-1
2006,Josh Boone,boonejo01,josh-boone-1
2006,Kyle Lowry,lowryky01,kyle-lowry-1
2006,Shannon Brown,brownsh01,shannon-brown-1
2006,Jordan Farmar,farmajo01,jordan-farmar-1
2006,Sergio Rodríguez,rodrise01,
2006,Maurice Ager,agerma01,maurice-ager-1
2006,Mardy Collins,collima01,mardy-collins-1
2006,Joel Freeland,freeljo01,
2006,James White,whiteja02,james-white-1
2006,Steve Novak,novakst01,steve-novak-1
2006,Solomon Jones,jonesso01,solomon-jones-1
2006,Paul Davis,davispa01,paul-davis-1
2006,P.J. Tucker,tuckepj01,pj-tucker-1
2006,Craig Smith,smithcr01,craig-smith-1
2006,Bobby Jones,jonesbo02,bobby-jones-2
2006,Kosta Perović,perovko01,
2006,David Noel,noelda01,david-noel-1
2006,James Augustine,augusja01,james-augustine-1
2006,Daniel Gibson,gibsoda01,daniel-gibson-1
2006,Marcus Vinicius,vincima01,
2006,Lior Eliyahu,eliyali01,
2006,Alexander Johnson,johnsal01,alexander-johnson-1
2006,Dee Brown,brownde03,dee-brown-2
2006,Paul Millsap,millspa01,paul-millsap-1
2006,Vladimir Veremeenko,veremvl01,
2006,Leon Powe,powele01,leon-powe-1
2006,Ryan Hollins,holliry01,ryan-hollins-1
2006,Cheikh Samb,sambch01,
2006,Guillermo Díaz,diazgu01,guillermo-diaz-1
2006,Yotam Halperin,halpeyo01,
2006,Hassan Adams,adamsha01,hassan-adams-1
2006,Ejike Ugboaja,ugboaej01,
2006,Edin Bavčić,bavcied01,
2006,Damir Markota,markoda01,
2006,Will Blalock,blalowi01,will-blalock-1
2007,Greg Oden,odengr01,greg-oden-1
2007,Kevin Durant,duranke01,kevin-durant-1
2007,Al Horford,horfoal01,al-horford-1
2007,Mike Conley,conlemi01,mike-conley-1
2007,Jeff Green,greenje02,jeff-green-1
2007,Yi Jianlian,jianlyi01,
2007,Corey Brewer,breweco01,corey-brewer-1
2007,Brandan Wright,wrighbr03,brandan-wright-1
2007,Joakim Noah,noahjo01,joakim-noah-1
2007,Spencer Hawes,hawessp01,spencer-hawes-1
2007,Acie Law,lawac01,acie-law-1
2007,Thaddeus Young,youngth01,thaddeus-young-1
2007,Julian Wright,wrighju01,julian-wright-1
2007,Al Thornton,thornal01,al-thornton-1
2007,Rodney Stuckey,stuckro01,rodney-stuckey-1
2007,Nick Young,youngni01,nick-young-1
2007,Sean Williams,willise01,sean-williams-1
2007,Marco Belinelli,belinma01,
2007,Javaris Crittenton,crittja01,javaris-crittenton-1
2007,Jason Smith,smithja02,jason-smith-1
2007,Daequan Cook,cookda02,daequan-cook-1
2007,Jared Dudley,dudleja01,jared-dudley-1
2007,Wilson Chandler,chandwi01,wilson-chandler-1
