player,position,lane_agility,shuttle_run,three_quarter_sprint,standing_vertical,max_vertical,bench_press,season,body_fat,hand_length,hand_width,height_shoes,standing_reach,weight,wingspan
Melvin Ely,PF,11.96,,3.35,26.0,29.0,7,2002.0,,,,,111.0,240.0,88.0
Reggie Evans,PF,12.73,,3.26,26.0,29.5,15,2002.0,,,,,107.5,250.0,86.5
Peter Fehse,PF-C,,,,,,,2002.0,,,,,109.0,220.0,84.5
Drew Gooden,PF,11.81,,3.19,29.0,33.0,13,2002.0,,,,,106.5,227.0,84.5
David Graves,SG,11.20,,3.27,26.0,29.5,8,2002.0,,,,,101.0,212.0,79.0
Lynn Greer,PG,11.24,,3.16,29.5,36.5,12,2002.0,,,,,94.5,170.0,73.0
Rod Grizzard,SF-SG,,,,,,6,2002.0,,,,,107.0,193.0,84.0
Anthony Grundy,PG-SG,11.10,,3.39,27.5,32.0,0,2002.0,,,,,99.0,167.0,79.75
Marcus Haislip,PF,11.35,,3.21,33.5,36.5,8,2002.0,,,,,107.0,221.0,84.0
Damon Hancock,SG-PG,11.62,,3.03,32.0,35.0,15,2002.0,,,,,99.5,203.0,78.0
Greg Harrington,PG,12.06,,3.32,28.5,34.0,15,2002.0,,,,,97.0,183.0,75.75
Udonis Haslem,PF,11.80,,3.31,28.5,33.5,22,2002.0,,,,,107.0,250.0,83.0
Cordell Henry,PG,11.30,,3.04,33.0,37.5,1,2002.0,,,,,92.0,155.0,73.0
Randy Holcomb,SF-PF,12.85,,3.22,29.5,35.5,15,2002.0,,,,,105.0,225.0,85.0
Ryan Humphrey,PF-SF,11.75,,3.20,31.5,37.5,13,2002.0,,,,,104.5,223.0,84.0
Jared Jeffries,PF,11.73,,3.40,26.0,30.0,9,2002.0,,,,,109.0,230.0,84.5
Jason Jennings,C,11.92,,3.62,29.0,32.0,8,2002.0,,,,,111.0,249.0,91.0
Fred Jones,SG,11.12,,3.13,33.5,37.5,,2002.0,,,,,100.0,218.0,84.0
Lonnie Jones,C-PF,11.80,,3.33,30.5,31.5,15,2002.0,,,,,112.0,230.0,86.25
Mario Kasun,C,,,,,,12,2002.0,,,,,109.0,260.0,83.5
Sean Kennedy,PG,11.64,,3.28,22.5,26.5,0,2002.0,,,,,96.0,182.0,74.5
Kris Lang,C-PF,11.36,,3.24,28.0,29.0,19,2002.0,,,,,109.0,242.0,83.75
Muhammed Lasege,C-PF,12.96,,3.29,27.5,30.0,18,2002.0,,,,,108.5,228.0,86.0
Steve Logan,PG,,,,,,11,2002.0,,,,,92.5,207.0,71.75
Kevin Lyde,C-PF,12.97,,3.36,27.5,30.5,13,2002.0,,,,,109.5,278.0,86.0
Tito Maddox,PG,12.20,,3.24,27.0,32.5,0,2002.0,,,,,99.0,200.0,77.0
Kei Madison,SF,11.74,,3.22,27.5,34.5,6,2002.0,,,,,107.0,216.0,84.5
Chris Massie,PF,,,,,,,2002.0,,,,,107.0,248.0,84.0
Immanuel McElroy,SG,,,,,,9,2002.0,,,,,100.0,191.0,78.5
Aaron McGhee,PF-SF,12.24,,,26.0,28.5,,2002.0,,,,,105.5,255.0,82.0
Elvin Mims,SF-SG,11.17,,3.22,32.0,38.0,7,2002.0,,,,,105.5,211.0,85.5
Byron Mouton,SG-SF,11.84,,3.10,24.0,30.0,7,2002.0,,,,,102.0,213.0,82.25
Ronald Murray,SG,11.13,,3.16,31.0,36.5,9,2002.0,,,,,100.5,197.0,79.5
Uche Okafor,PF-C,14.45,,3.34,24.5,25.0,10,2002.0,,,,,112.0,229.0,89.5
Chris Owens,PF-SF,,,,,,10,2002.0,,,,,104.0,237.0,83.5
Jannero Pargo,PG,11.11,,3.20,25.5,29.5,5,2002.0,,,,,96.0,168.0,74.5
Smush Parker,PG-SG,12.30,,3.26,21.0,28.5,1,2002.0,,,,,107.5,179.0,82.0
Luke Recker,SG-SF,10.78,,3.27,25.5,31.0,13,2002.0,,,,,101.0,198.0,79.0
Rolan Roberts,PF,11.36,,3.33,32.5,37.5,16,2002.0,,,,,105.5,241.0,85.0
Travis Robinson,SF,11.96,,3.43,26.0,33.0,3,2002.0,,,,,104.5,211.0,82.5
Kareem Rush,SG-SF,11.86,,3.22,26.0,30.0,15,2002.0,,,,,103.5,199.0,81.75
Brooks Sales,PF-C,11.05,,3.29,26.0,29.5,13,2002.0,,,,,108.0,232.0,82.0
John Salmons,SF-SG,11.35,,3.25,30.5,34.5,12,2002.0,,,,,104.0,207.0,82.25
Predrag Savovic,SG,10.94,,3.38,22.5,28.5,13,2002.0,,,,,102.0,212.0,79.0
Julian Sensley,PF-SF,11.85,,3.32,27.5,31.5,8,2002.0,,,,,105.5,228.0,83.5
Israel Sheinfeld,PF-C,,,,,,8,2002.0,,,,,106.5,239.0,81.75
Preston Shumpert,SF,11.03,,3.24,28.5,29.0,9,2002.0,,,,,103.5,197.0,80.5
Tamar Slay,SF,10.94,,3.09,32.5,38.0,11,2002.0,,,,,104.0,203.0,83.5
Darius Songaila,PF,11.69,,3.52,24.5,29.5,8,2002.0,,,,,108.5,240.0,85.0
Amar'e Stoudemire,PF,11.19,,3.25,32.0,35.5,12,2002.0,,,,,108.5,233.0,85.75
Marcus Taylor,PG,11.25,,3.31,27.5,33.5,4,2002.0,,,,,98.5,181.0,76.5
Jobey Thomas,SG,11.46,,3.30,26.0,32.0,13,2002.0,,,,,99.5,183.0,77.75
Dajuan Wagner,PG-SG,12.03,,3.22,28.0,35.0,16,2002.0,,,,,99.0,193.0,74.0
Chris Wilcox,PF-C,11.43,,3.16,31.0,34.5,20,2002.0,,,,,107.5,218.0,85.0
Jay Williams,PG,10.34,,3.09,28.5,36.0,10,2002.0,,,,,97.0,197.0,75.5
Frank Williams,PG,11.73,,3.29,26.0,31.0,,2002.0,,,,,100.5,212.0,80.0
George Williams,PF-SF,11.21,,3.24,33.5,39.0,11,2002.0,,,,,103.0,214.0,84.5
Qyntel Woods,SF-SG,11.94,,3.23,33.5,34.5,2,2002.0,,,,,105.0,213.0,82.0
Vincent Yarbrough,SF,11.70,,3.32,30.0,34.0,10,2002.0,,,,,104.5,202.0,84.5
Aloysius Anagonye,PF,12.93,,3.30,31.0,34.5,6,2003.0,10.5,,,,106.0,257.0,86.5
Rick Anderson,SF-PF,11.23,,3.40,26.0,30.5,6,2003.0,9.9,,,,106.5,216.0,83.0
Carmelo Anthony,SF,11.40,,3.15,30.5,33.5,7,2003.0,8.0,,,,105.5,233.0,84.0
Jerome Beasley,SF-PF,11.36,,3.25,27.0,32.0,10,2003.0,9.9,,,,107.0,237.0,84.5
Troy Bell,PG,10.89,,3.06,34.5,41.0,17,2003.0,5.3,,,,97.5,178.0,77.0
LaVell Blanchard,SF,11.64,,3.38,33.5,36.5,12,2003.0,11.7,,,,101.5,205.0,78.0
Keith Bogans,SG,11.43,,3.25,29.5,35.0,10,2003.0,8.0,,,,101.0,213.0,81.25
Matt Bonner,PF-SF,11.52,,3.32,27.0,32.0,20,2003.0,13.6,,,,105.5,242.0,80.75
Chris Bosh,PF,11.80,,3.30,30.5,33.0,9,2003.0,8.0,,,,109.0,225.0,87.5
Jermaine Boyette,PG-SG,11.20,,3.07,29.0,35.5,14,2003.0,7.3,,,,96.0,187.0,76.0
Souleymane Camara,PF-SF,11.51,,3.20,28.5,34.5,2,2003.0,9.9,,,,109.0,211.0,86.25
Matt Carroll,SG-SF,11.11,,3.35,29.0,33.5,13,2003.0,6.7,,,,98.5,207.0,78.5
Nick Collison,PF,11.62,,3.28,28.0,33.0,8,2003.0,17.0,,,,108.0,255.0,85.5
Brian Cook,PF-SF,11.87,,3.45,25.0,29.0,6,2003.0,10.5,,,,109.0,234.0,86.0
Joel Cornette,PF-SF,11.27,,3.14,26.0,32.5,13,2003.0,12.9,,,,105.5,239.0,81.25
Marquis Daniels,SG-PG,11.62,,3.25,30.5,35.0,6,2003.0,4.0,,,,103.5,198.0,82.0
Aleksander Djuric,C-PF,11.97,,3.65,23.5,27.5,3,2003.0,16.3,,,,108.0,253.0,84.0
Ruben Douglas,SG,11.95,,3.27,28.5,35.0,9,2003.0,6.0,,,,100.5,193.0,79.25
Ronald Dupree,SF-SG,11.09,,3.23,37.5,41.5,11,2003.0,6.7,,,,101.0,209.0,80.25
Carl English,SG-PG,11.77,,3.32,28.0,34.0,11,2003.0,8.0,,,,98.5,201.0,77.25
Ebi Ere,SG,11.38,,3.16,29.5,33.5,,2003.0,14.1,,,,102.0,210.0,82.5
Marquis Estill,PF-C,12.92,,3.31,30.0,36.0,7,2003.0,11.7,,,,108.0,257.0,88.0
T.J. Ford,PG,11.45,,3.20,32.5,39.5,0,2003.0,6.7,,,,93.5,162.0,71.5
Jason Gardner,PG,10.62,,3.17,30.5,35.0,10,2003.0,9.3,,,,92.0,194.0,73.0
Willie Green,SG-PG,11.86,,3.19,28.5,28.5,13,2003.0,8.0,,,,100.0,201.0,79.25
Justin Hamilton,PG-SG,11.18,,3.18,30.0,37.5,17,2003.0,8.0,,,,103.0,217.0,83.0
Travis Hansen,SG,10.72,,3.18,31.5,35.0,16,2003.0,6.0,,,,100.5,200.0,78.5
Trevor Harvey,C-PF,11.85,,3.32,29.5,32.0,11,2003.0,10.5,,,,109.5,245.0,85.0
Marcus Hatten,PG,11.50,,3.15,29.5,37.5,7,2003.0,4.0,,,,98.0,163.0,78.25
Kirk Hinrich,PG-SG,10.98,,3.10,29.0,33.5,10,2003.0,5.3,,,,98.5,186.0,78.0
Jerry Holman,PF,11.54,,3.24,33.0,37.5,11,2003.0,6.0,,,,109.5,232.0,87.25
Sam Hoskin,PF,,,,,,24,2003.0,,,,,107.5,261.0,82.75
