year,player,affiliation,overall_pick,position,lane_agility,shuttle_run,sprint,standing_leap,max_leap,bench_press,body_fat,hand_length,hand_width,height_no_shoes,height_shoes,reach,weight,wingspan,assist_percentage,assists,block_percentage,blocks,box_plus_minus,conference,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goals,free_throw_attempt_rate,free_throw_attempt,free_throw_percentage,free_throws,minutes_played,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_attempts,three_point_percentage,three_pointers,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_attempts,two_point_percentage,two_pointers,usage_percentage,win_shares,player_id,classification
2012,Robbie Hummel,Purdue,58,F,11.56,3.1,3.41,27.5,30.0,13.0,9.4,8.5,9.5,79.25,80.5,102.0,218.0,80.5,12.6,66,4.2,42,8.1,big-ten,24.3,196.0,0.495,465,194,0.295,137,0.825,113,1128.0,5.5,55.0,73.0,573,1.3,23,0.40399999999999997,188,0.38299999999999995,72,14.0,251,0.54,5.7,32.0,277,0.44,122,26.3,5.6,robbie-hummel-1,Exclude
2002,Robert Archibald,Illinois,31,F,11.34,3.1,3.33,24.0,27.5,10.0,7.79,8.95,9.59,82.0,80.81,109.5,250.0,83.75,,44,,38,,big-ten,,118.0,0.659,173,114,1.185,205,0.654,134,769.0,,70.0,123.0,362,,25,0.006,1,0.0,0,,188,0.669,19.9,67.0,172,0.6629999999999999,114,,4.9,robert-archibald-1,Exclude
2012,Robert Sacre,Gonzaga,60,C,11.96,3.1,3.42,27.58,31.48,10.79,8.73,9.12,9.86,82.59,83.73,110.57,247.02,87.72,5.7,24,5.8,47,4.9,wcc,20.2,141.0,0.511,229,117,0.86,197,0.7609999999999999,150,868.0,9.9,67.0,72.0,384,0.8,12,0.009000000000000001,2,0.0,0,15.1,208,0.595,15.7,60.0,227,0.515,117,22.9,4.2,robert-sacre-1,Bust
2005,Robert Whaley,Walsh,51,F,12.11,3.1,3.25,28.5,33.5,15.0,7.79,8.95,9.59,80.0,81.0,108.0,269.4,86.0,9.7,14,2.1,8,,,,31.0,0.348,138,48,0.341,47,0.66,31,286.0,,23.0,47.0,127,,6,0.006999999999999999,1,0.0,0,10.7,54,0.396,13.0,24.0,137,0.35,48,31.5,0.1,robert-whaley-1,Exclude
2008,Robin Lopez,Stanford,15,C,11.96,3.1,3.42,27.58,31.48,10.79,8.73,9.12,9.86,82.59,83.73,110.57,247.02,87.72,5.4,22,6.8,83,,pac-10,,111.0,0.536,262,140,0.504,132,0.652,86,883.0,,93.0,94.0,367,,18,0.004,1,1.0,1,13.3,204,0.565,16.2,63.0,261,0.5329999999999999,139,22.7,5.9,robin-lopez-1,Role Player
2006,Rodney Carney,Memphis,16,G,10.57,3.04,3.06,32.0,38.5,10.0,5.3,8.46,9.1,76.5,77.75,103.5,204.0,82.0,,47,,25,,cusa,,101.0,0.537,505,220,0.261,132,0.7120000000000001,94,1027.0,,57.0,84.0,636,,49,0.517,261,0.391,102,,158,0.56,8.7,54.0,244,0.484,118,,5.5,rodney-carney-1,Role Player
2014,Rodney Hood,Duke,23,F,11.21,3.14,3.38,29.0,36.0,11.36,7.45,8.5,8.5,79.25,80.5,103.0,208.2,80.5,13.2,75,0.8,9,7.2,acc,11.7,109.0,0.55,412,191,0.32799999999999996,135,0.807,109,1150.0,2.9,29.0,91.0,562,1.3,25,0.41,169,0.42,71,7.2,138,0.59,10.2,54.0,243,0.494,120,23.8,4.9,rodney-hood-1,Starter
2007,Rodney Stuckey,Eastern Washington,15,G,11.34,3.04,3.11,30.5,35.0,14.0,6.1,8.46,9.1,75.75,76.5,100.5,207.0,79.25,,160,,9,,big-sky,,100.0,0.496,501,227,0.507,254,0.846,215,965.0,,35.0,68.0,712,,71,0.321,161,0.267,43,,135,0.573,13.6,98.0,340,0.541,184,,3.6,rodney-stuckey-1,Starter
2001,Rodney White,North Carolina-Charlotte,9,F,12.07,3.1,3.47,27.5,33.0,16.0,9.3,8.95,9.59,79.5,80.81,104.5,243.0,83.5,,41,,20,,cusa,,132.0,0.53,386,188,0.415,160,0.713,114,865.0,,50.0,73.0,523,,34,0.24600000000000002,95,0.34700000000000003,33,,182,0.5660000000000001,15.1,82.0,291,0.5329999999999999,155,,4.4,rodney-white-1,Role Player
2015,Rondae Hollis-Jefferson,Arizona,23,F,10.41,3.19,3.12,32.0,38.0,13.0,5.0,8.75,9.75,77.5,79.0,104.0,210.8,86.0,10.1,59,3.4,32,11.2,pac-12,20.1,183.0,0.513,275,138,0.745,205,0.7070000000000001,145,1090.0,9.0,77.0,94.0,427,2.4,44,0.105,29,0.207,6,14.8,260,0.573,13.7,59.0,246,0.537,132,20.5,5.9,rondae-hollis-jefferson-1,Role Player
